sessionIx,blockIx,trialIx,trialOns,fixIx,fixOns,fixDur,cueIx,cueOns,cueDur,s1Ix,s1Ons,s1Dur,s2Ix,soaIx,s2Ons,s2Dur,ITIDur
1,3,303,642,0,0,0.2,,,,1,0.2,1.2,1,4,0.666,0.6,0.6
1,3,304,644,0,0,0.2,,,,1,0.2,1.2,,,,,0.6
1,3,305,646,0,0,0.2,,,,0,0.2,1.2,,,,,0.6
1,3,306,648,0,0,0.2,,,,1,0.2,1.2,3,0,0.266,0.6,0.6
1,3,307,650,0,0,0.2,,,,1,0.2,1.2,0,3,0.566,0.6,0.6
1,3,308,652,0,0,0.2,,,,0,0.2,1.2,,,,,0.6
1,3,309,654,0,0,0.2,,,,1,0.2,1.2,0,3,0.566,0.6,0.6
1,3,310,656,0,0,0.2,,,,1,0.2,1.2,,,,,0.6
1,3,311,658,0,0,0.2,,,,1,0.2,1.2,0,2,0.466,0.6,0.6
1,3,312,660,0,0,0.2,,,,1,0.2,1.2,3,0,0.266,0.6,0.6
1,3,313,662,0,0,0.2,,,,1,0.2,1.2,,,,,0.6
1,3,314,664,0,0,0.2,,,,1,0.2,1.2,3,1,0.366,0.6,0.6
1,3,315,666,0,0,0.2,,,,0,0.2,1.2,,,,,0.6
1,3,316,668,0,0,0.2,,,,1,0.2,1.2,0,2,0.466,0.6,0.6
1,3,317,670,0,0,0.2,,,,0,0.2,1.2,,,,,0.6
1,3,318,672,0,0,0.2,,,,0,0.2,1.2,,,,,0.6
1,3,319,674,0,0,0.2,,,,1,0.2,1.2,,,,,0.6
1,3,320,676,0,0,0.2,,,,0,0.2,1.2,,,,,0.6
1,3,321,678,0,0,0.2,,,,1,0.2,1.2,1,2,0.466,0.6,0.6
1,3,322,680,0,0,0.2,,,,1,0.2,1.2,,,,,0.6
1,3,323,682,0,0,0.2,,,,0,0.2,1.2,,,,,0.6
1,3,324,684,0,0,0.2,,,,1,0.2,1.2,,,,,0.6
1,3,325,686,0,0,0.2,,,,1,0.2,1.2,2,4,0.666,0.6,0.6
1,3,326,688,0,0,0.2,,,,0,0.2,1.2,,,,,0.6
1,3,327,690,0,0,0.2,,,,1,0.2,1.2,3,4,0.666,0.6,0.6
1,3,328,692,0,0,0.2,,,,1,0.2,1.2,,,,,0.6
1,3,329,694,0,0,0.2,,,,1,0.2,1.2,,,,,0.6
